condition,policy,detector_cutoff,score_only_cutoff,test_rows,malicious,benign,baseline_tp,baseline_fp,baseline_fn,baseline_tn,retained_tp,retained_fp,validated_fn,validated_tn,fp_removed,tp_removed,fp_reduction,baseline_recall,validated_recall,recall_delta
duplicate_group_split,reference_detector,0.16,0.21,120059,23603,96456,23564,375,39,96081,23564,375,39,96081,0,0,0.0,0.9983476676693641,0.9983476676693641,0.0
duplicate_group_split,symbolic,0.16,0.21,120059,23603,96456,23564,375,39,96081,22769,258,834,96198,117,795,0.312,0.9983476676693641,0.9646655086217854,-0.033682159047578694
duplicate_group_split,development_detector,0.16,0.21,120059,23603,96456,23564,375,39,96081,23563,358,40,96098,17,1,0.04533333333333334,0.9983476676693641,0.9983053001737068,-4.2367495657331696e-05
duplicate_group_split,development_detector_plus_symbolic,0.16,0.21,120059,23603,96456,23564,375,39,96081,22768,254,835,96202,121,796,0.32266666666666666,0.9983476676693641,0.964623141126128,-0.03372452654323603
duplicate_group_split,development_score_filter,0.16,0.21,120059,23603,96456,23564,375,39,96081,23553,265,50,96191,110,11,0.29333333333333333,0.9983476676693641,0.9978816252171334,-0.00046604245223064866
leave_day_out_Monday,reference_detector,0.15,0.25,50000,0,50000,0,247,0,49753,0,247,0,49753,0,0,0.0,,,
leave_day_out_Monday,symbolic,0.15,0.25,50000,0,50000,0,247,0,49753,0,94,0,49906,153,0,0.6194331983805668,,,
leave_day_out_Monday,development_detector,0.15,0.25,50000,0,50000,0,247,0,49753,0,247,0,49753,0,0,0.0,,,
leave_day_out_Monday,development_detector_plus_symbolic,0.15,0.25,50000,0,50000,0,247,0,49753,0,94,0,49906,153,0,0.6194331983805668,,,
leave_day_out_Monday,development_score_filter,0.15,0.25,50000,0,50000,0,247,0,49753,0,134,0,49866,113,0,0.4574898785425101,,,
leave_day_out_Tuesday,reference_detector,0.15,0.22,50000,1551,48449,606,803,945,47646,606,803,945,47646,0,0,0.0,0.390715667311412,0.390715667311412,0.0
leave_day_out_Tuesday,symbolic,0.15,0.22,50000,1551,48449,606,803,945,47646,303,513,1248,47936,290,303,0.36114570361145704,0.390715667311412,0.195357833655706,-0.195357833655706
leave_day_out_Tuesday,development_detector,0.15,0.22,50000,1551,48449,606,803,945,47646,606,803,945,47646,0,0,0.0,0.390715667311412,0.390715667311412,0.0
leave_day_out_Tuesday,development_detector_plus_symbolic,0.15,0.22,50000,1551,48449,606,803,945,47646,303,513,1248,47936,290,303,0.36114570361145704,0.390715667311412,0.195357833655706,-0.195357833655706
leave_day_out_Tuesday,development_score_filter,0.15,0.22,50000,1551,48449,606,803,945,47646,524,514,1027,47935,289,82,0.35990037359900373,0.390715667311412,0.33784655061250807,-0.052869116698903935
leave_day_out_Wednesday,reference_detector,0.15,0.25,50000,18245,31755,4487,60,13758,31695,4487,60,13758,31695,0,0,0.0,0.24593039188818855,0.24593039188818855,0.0
leave_day_out_Wednesday,symbolic,0.15,0.25,50000,18245,31755,4487,60,13758,31695,1274,31,16971,31724,29,3213,0.48333333333333334,0.24593039188818855,0.06982734995889285,-0.17610304192929568
leave_day_out_Wednesday,development_detector,0.15,0.25,50000,18245,31755,4487,60,13758,31695,4487,60,13758,31695,0,0,0.0,0.24593039188818855,0.24593039188818855,0.0
leave_day_out_Wednesday,development_detector_plus_symbolic,0.15,0.25,50000,18245,31755,4487,60,13758,31695,1274,31,16971,31724,29,3213,0.48333333333333334,0.24593039188818855,0.06982734995889285,-0.17610304192929568
leave_day_out_Wednesday,development_score_filter,0.15,0.25,50000,18245,31755,4487,60,13758,31695,1720,19,16525,31736,41,2767,0.6833333333333333,0.24593039188818855,0.09427240339819129,-0.15165798848999726
leave_day_out_Thursday,reference_detector,0.15,0.19,100000,2216,97784,1868,11011,348,86773,1868,11011,348,86773,0,0,0.0,0.8429602888086642,0.8429602888086642,0.0
leave_day_out_Thursday,symbolic,0.15,0.19,100000,2216,97784,1868,11011,348,86773,33,520,2183,97264,10491,1835,0.9527744982290437,0.8429602888086642,0.014891696750902527,-0.8280685920577617
leave_day_out_Thursday,development_detector,0.15,0.19,100000,2216,97784,1868,11011,348,86773,1868,11011,348,86773,0,0,0.0,0.8429602888086642,0.8429602888086642,0.0
leave_day_out_Thursday,development_detector_plus_symbolic,0.15,0.19,100000,2216,97784,1868,11011,348,86773,33,520,2183,97264,10491,1835,0.9527744982290437,0.8429602888086642,0.014891696750902527,-0.8280685920577617
leave_day_out_Thursday,development_score_filter,0.15,0.19,100000,2216,97784,1868,11011,348,86773,1717,6280,499,91504,4731,151,0.42966124784306603,0.8429602888086642,0.7748194945848376,-0.06814079422382671
leave_day_out_Friday,reference_detector,0.17,0.23,150000,58063,91937,18061,1119,40002,90818,18061,1119,40002,90818,0,0,0.0,0.31105867764324957,0.31105867764324957,0.0
leave_day_out_Friday,symbolic,0.17,0.23,150000,58063,91937,18061,1119,40002,90818,17974,897,40089,91040,222,87,0.19839142091152814,0.31105867764324957,0.3095603051857465,-0.0014983724575030571
leave_day_out_Friday,development_detector,0.17,0.23,150000,58063,91937,18061,1119,40002,90818,18036,820,40027,91117,299,25,0.26720285969615726,0.31105867764324957,0.3106281108451165,-0.00043056679813306236
leave_day_out_Friday,development_detector_plus_symbolic,0.17,0.23,150000,58063,91937,18061,1119,40002,90818,17971,673,40092,91264,446,90,0.39857015192135836,0.31105867764324957,0.30950863716997057,-0.0015500404732790244
leave_day_out_Friday,development_score_filter,0.17,0.23,150000,58063,91937,18061,1119,40002,90818,17989,236,40074,91701,883,72,0.7890974084003575,0.31105867764324957,0.3098186452646264,-0.0012400323786232197
