policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,-678
symbolic,5,-3858
symbolic,10,-7833
symbolic,20,-15783
symbolic,100,-79383
symbolic,1000,-794883
development_score_filter,1,99
development_score_filter,5,55
development_score_filter,10,0
development_score_filter,20,-110
development_score_filter,100,-990
development_score_filter,1000,-10890
development_detector,1,16
development_detector,5,12
development_detector,10,7
development_detector,20,-3
development_detector,100,-83
development_detector,1000,-983
development_detector_plus_symbolic,1,-675
development_detector_plus_symbolic,5,-3859
development_detector_plus_symbolic,10,-7839
development_detector_plus_symbolic,20,-15799
development_detector_plus_symbolic,100,-79479
development_detector_plus_symbolic,1000,-795879
