cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,15986
0.16,20,0,15986
0.17,34,2,15984
0.18,51,3,15983
0.19,61,5,15981
0.2,73,5,15981
0.21,79,5,15981
0.22,85,7,15979
0.23,96,8,15978
0.24,104,12,15974
0.25,115,12,15974
0.26,121,12,15974
0.27,130,14,15972
0.28,134,15,15971
0.29,137,19,15967
0.3,138,19,15967
0.31,144,20,15966
0.32,150,20,15966
0.33,155,23,15963
0.34,158,719,15267
0.35,158,721,15265
0.36,162,726,15260
0.37,166,732,15254
0.38,167,736,15250
0.39,171,739,15247
0.4,171,743,15243
0.41,173,746,15240
0.42,175,748,15238
0.43,175,751,15235
0.44,177,756,15230
0.45,178,761,15225
0.46,181,767,15219
0.47,182,773,15213
0.48,185,777,15209
0.49,185,781,15205
0.5,185,784,15202
0.51,186,788,15198
0.52,188,791,15195
0.53,190,794,15192
0.54,190,796,15190
0.55,192,801,15185
0.56,193,803,15183
0.57,193,806,15180
0.58,194,808,15178
0.59,195,812,15174
0.6,195,820,15166
0.61,195,827,15159
0.62,197,832,15154
0.63,197,835,15151
0.64,197,838,15148
0.65,197,846,15140
0.66,197,851,15135
0.67,197,858,15128
0.68,197,865,15121
0.69,198,873,15113
0.7,203,881,15105
0.71,204,885,15101
0.72,206,891,15095
0.73,208,899,15087
0.74,209,906,15080
0.75,209,915,15071
0.76,210,923,15063
0.77,210,938,15048
0.78,211,945,15041
0.79,211,955,15031
0.8,211,960,15026
0.81,211,974,15012
0.82,212,999,14987
0.83,213,1016,14970
0.84,216,1040,14946
0.85,216,1068,14918
0.86,216,1083,14903
0.87,216,1094,14892
0.88,216,1119,14867
0.89,216,1148,14838
0.9,220,1180,14806
0.91,220,1205,14781
0.92,220,1226,14760
0.93,220,1279,14707
0.94,220,1318,14668
0.95,221,1381,14605
0.96,222,1433,14553
0.97,224,1526,14460
0.98,227,1702,14284
0.99,227,1864,14122
1.0,228,2222,13764
