condition,policy,label,test_rows,baseline_retained,policy_retained,removed,absent_from_training,malicious_label
leave_day_out_Friday,reference_detector,BENIGN,91937,1119,1119,0,False,False
leave_day_out_Friday,reference_detector,Bot,1966,0,0,0,True,True
leave_day_out_Friday,reference_detector,DDoS,28357,17948,17948,0,True,True
leave_day_out_Friday,reference_detector,PortScan,27740,113,113,0,True,True
leave_day_out_Friday,symbolic,BENIGN,91937,1119,897,222,False,False
leave_day_out_Friday,symbolic,Bot,1966,0,0,0,True,True
leave_day_out_Friday,symbolic,DDoS,28357,17948,17929,19,True,True
leave_day_out_Friday,symbolic,PortScan,27740,113,45,68,True,True
leave_day_out_Friday,development_score_filter,BENIGN,91937,1119,236,883,False,False
leave_day_out_Friday,development_score_filter,Bot,1966,0,0,0,True,True
leave_day_out_Friday,development_score_filter,DDoS,28357,17948,17930,18,True,True
leave_day_out_Friday,development_score_filter,PortScan,27740,113,59,54,True,True
leave_day_out_Friday,development_detector,BENIGN,91937,1119,820,299,False,False
leave_day_out_Friday,development_detector,Bot,1966,0,0,0,True,True
leave_day_out_Friday,development_detector,DDoS,28357,17948,17943,5,True,True
leave_day_out_Friday,development_detector,PortScan,27740,113,93,20,True,True
leave_day_out_Friday,development_detector_plus_symbolic,BENIGN,91937,1119,673,446,False,False
leave_day_out_Friday,development_detector_plus_symbolic,Bot,1966,0,0,0,True,True
leave_day_out_Friday,development_detector_plus_symbolic,DDoS,28357,17948,17928,20,True,True
leave_day_out_Friday,development_detector_plus_symbolic,PortScan,27740,113,43,70,True,True
