policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,135
symbolic,5,-213
symbolic,10,-648
symbolic,20,-1518
symbolic,100,-8478
symbolic,1000,-86778
development_score_filter,1,811
development_score_filter,5,523
development_score_filter,10,163
development_score_filter,20,-557
development_score_filter,100,-6317
development_score_filter,1000,-71117
development_detector,1,274
development_detector,5,174
development_detector,10,49
development_detector,20,-201
development_detector,100,-2201
development_detector,1000,-24701
development_detector_plus_symbolic,1,356
development_detector_plus_symbolic,5,-4
development_detector_plus_symbolic,10,-454
development_detector_plus_symbolic,20,-1354
development_detector_plus_symbolic,100,-8554
development_detector_plus_symbolic,1000,-89554
