cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,6109
0.16,15,0,6109
0.17,27,0,6109
0.18,33,1,6108
0.19,37,2,6107
0.2,50,2,6107
0.21,58,2,6107
0.22,61,2,6107
0.23,68,4,6105
0.24,70,5,6104
0.25,76,6,6103
0.26,79,7,6102
0.27,81,8,6101
0.28,89,9,6100
0.29,97,9,6100
0.3,102,10,6099
0.31,104,10,6099
0.32,109,11,6098
0.33,114,11,6098
0.34,117,14,6095
0.35,119,14,6095
0.36,119,15,6094
0.37,122,16,6093
0.38,125,18,6091
0.39,125,19,6090
0.4,127,19,6090
0.41,128,19,6090
0.42,129,20,6089
0.43,129,20,6089
0.44,129,21,6088
0.45,129,23,6086
0.46,130,23,6086
0.47,133,26,6083
0.48,133,27,6082
0.49,133,30,6079
0.5,133,34,6075
0.51,135,35,6074
0.52,136,36,6073
0.53,136,37,6072
0.54,136,37,6072
0.55,136,38,6071
0.56,138,40,6069
0.57,138,45,6064
0.58,138,51,6058
0.59,138,57,6052
0.6,140,57,6052
0.61,140,58,6051
0.62,140,69,6040
0.63,141,70,6039
0.64,141,72,6037
0.65,141,77,6032
0.66,141,78,6031
0.67,141,79,6030
0.68,141,80,6029
0.69,141,81,6028
0.7,141,84,6025
0.71,142,88,6021
0.72,142,90,6019
0.73,144,93,6016
0.74,144,94,6015
0.75,144,96,6013
0.76,145,101,6008
0.77,147,104,6005
0.78,147,110,5999
0.79,147,112,5997
0.8,147,115,5994
0.81,147,119,5990
0.82,147,123,5986
0.83,147,125,5984
0.84,147,127,5982
0.85,148,133,5976
0.86,149,139,5970
0.87,149,157,5952
0.88,149,170,5939
0.89,150,180,5929
0.9,150,204,5905
0.91,150,236,5873
0.92,150,265,5844
0.93,152,313,5796
0.94,153,352,5757
0.95,153,416,5693
0.96,153,965,5144
0.97,153,1045,5064
0.98,153,1150,4959
0.99,153,1319,4790
1.0,156,1593,4516
