policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,153
symbolic,5,153
symbolic,10,153
symbolic,20,153
symbolic,100,153
symbolic,1000,153
development_score_filter,1,113
development_score_filter,5,113
development_score_filter,10,113
development_score_filter,20,113
development_score_filter,100,113
development_score_filter,1000,113
development_detector,1,0
development_detector,5,0
development_detector,10,0
development_detector,20,0
development_detector,100,0
development_detector,1000,0
development_detector_plus_symbolic,1,153
development_detector_plus_symbolic,5,153
development_detector_plus_symbolic,10,153
development_detector_plus_symbolic,20,153
development_detector_plus_symbolic,100,153
development_detector_plus_symbolic,1000,153
