cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,23576
0.16,16,1,23575
0.17,28,3,23573
0.18,43,5,23571
0.19,56,6,23570
0.2,66,12,23564
0.21,73,17,23559
0.22,84,17,23559
0.23,94,20,23556
0.24,98,21,23555
0.25,106,21,23555
0.26,116,27,23549
0.27,127,28,23548
0.28,137,31,23545
0.29,146,33,23543
0.3,158,35,23541
0.31,164,42,23534
0.32,172,43,23533
0.33,175,46,23530
0.34,182,52,23524
0.35,186,56,23520
0.36,190,59,23517
0.37,198,66,23510
0.38,200,70,23506
0.39,204,75,23501
0.4,208,83,23493
0.41,210,93,23483
0.42,212,98,23478
0.43,214,106,23470
0.44,217,109,23467
0.45,219,116,23460
0.46,222,121,23455
0.47,225,123,23453
0.48,225,128,23448
0.49,226,130,23446
0.5,227,132,23444
0.51,227,138,23438
0.52,229,140,23436
0.53,232,141,23435
0.54,233,144,23432
0.55,234,157,23419
0.56,234,159,23417
0.57,234,163,23413
0.58,235,173,23403
0.59,235,177,23399
0.6,236,180,23396
0.61,238,191,23385
0.62,240,195,23381
0.63,243,208,23368
0.64,243,214,23362
0.65,246,225,23351
0.66,247,232,23344
0.67,248,234,23342
0.68,248,250,23326
0.69,250,255,23321
0.7,250,266,23310
0.71,252,274,23302
0.72,252,282,23294
0.73,253,290,23286
0.74,254,299,23277
0.75,257,310,23266
0.76,259,326,23250
0.77,260,348,23228
0.78,261,367,23209
0.79,263,371,23205
0.8,266,389,23187
0.81,268,403,23173
0.82,269,410,23166
0.83,270,429,23147
0.84,270,444,23132
0.85,273,461,23115
0.86,274,486,23090
0.87,275,515,23061
0.88,278,545,23031
0.89,278,571,23005
0.9,282,623,22953
0.91,282,662,22914
0.92,282,708,22868
0.93,285,764,22812
0.94,288,801,22775
0.95,290,1355,22221
0.96,290,1439,22137
0.97,291,1574,22002
0.98,292,1754,21822
0.99,292,1992,21584
1.0,294,2505,21071
