policy,fp_target,recall_margin,fp_target_met,recall_margin_met
reference_detector,0.1,0.0,False,
reference_detector,0.1,0.001,False,
reference_detector,0.1,0.005,False,
reference_detector,0.1,0.01,False,
reference_detector,0.1,0.02,False,
reference_detector,0.1,0.05,False,
reference_detector,0.2,0.0,False,
reference_detector,0.2,0.001,False,
reference_detector,0.2,0.005,False,
reference_detector,0.2,0.01,False,
reference_detector,0.2,0.02,False,
reference_detector,0.2,0.05,False,
reference_detector,0.3,0.0,False,
reference_detector,0.3,0.001,False,
reference_detector,0.3,0.005,False,
reference_detector,0.3,0.01,False,
reference_detector,0.3,0.02,False,
reference_detector,0.3,0.05,False,
reference_detector,0.4,0.0,False,
reference_detector,0.4,0.001,False,
reference_detector,0.4,0.005,False,
reference_detector,0.4,0.01,False,
reference_detector,0.4,0.02,False,
reference_detector,0.4,0.05,False,
reference_detector,0.5,0.0,False,
reference_detector,0.5,0.001,False,
reference_detector,0.5,0.005,False,
reference_detector,0.5,0.01,False,
reference_detector,0.5,0.02,False,
reference_detector,0.5,0.05,False,
symbolic,0.1,0.0,True,
symbolic,0.1,0.001,True,
symbolic,0.1,0.005,True,
symbolic,0.1,0.01,True,
symbolic,0.1,0.02,True,
symbolic,0.1,0.05,True,
symbolic,0.2,0.0,True,
symbolic,0.2,0.001,True,
symbolic,0.2,0.005,True,
symbolic,0.2,0.01,True,
symbolic,0.2,0.02,True,
symbolic,0.2,0.05,True,
symbolic,0.3,0.0,True,
symbolic,0.3,0.001,True,
symbolic,0.3,0.005,True,
symbolic,0.3,0.01,True,
symbolic,0.3,0.02,True,
symbolic,0.3,0.05,True,
symbolic,0.4,0.0,True,
symbolic,0.4,0.001,True,
symbolic,0.4,0.005,True,
symbolic,0.4,0.01,True,
symbolic,0.4,0.02,True,
symbolic,0.4,0.05,True,
symbolic,0.5,0.0,True,
symbolic,0.5,0.001,True,
symbolic,0.5,0.005,True,
symbolic,0.5,0.01,True,
symbolic,0.5,0.02,True,
symbolic,0.5,0.05,True,
development_score_filter,0.1,0.0,True,
development_score_filter,0.1,0.001,True,
development_score_filter,0.1,0.005,True,
development_score_filter,0.1,0.01,True,
development_score_filter,0.1,0.02,True,
development_score_filter,0.1,0.05,True,
development_score_filter,0.2,0.0,True,
development_score_filter,0.2,0.001,True,
development_score_filter,0.2,0.005,True,
development_score_filter,0.2,0.01,True,
development_score_filter,0.2,0.02,True,
development_score_filter,0.2,0.05,True,
development_score_filter,0.3,0.0,True,
development_score_filter,0.3,0.001,True,
development_score_filter,0.3,0.005,True,
development_score_filter,0.3,0.01,True,
development_score_filter,0.3,0.02,True,
development_score_filter,0.3,0.05,True,
development_score_filter,0.4,0.0,True,
development_score_filter,0.4,0.001,True,
development_score_filter,0.4,0.005,True,
development_score_filter,0.4,0.01,True,
development_score_filter,0.4,0.02,True,
development_score_filter,0.4,0.05,True,
development_score_filter,0.5,0.0,False,
development_score_filter,0.5,0.001,False,
development_score_filter,0.5,0.005,False,
development_score_filter,0.5,0.01,False,
development_score_filter,0.5,0.02,False,
development_score_filter,0.5,0.05,False,
development_detector,0.1,0.0,False,
development_detector,0.1,0.001,False,
development_detector,0.1,0.005,False,
development_detector,0.1,0.01,False,
development_detector,0.1,0.02,False,
development_detector,0.1,0.05,False,
development_detector,0.2,0.0,False,
development_detector,0.2,0.001,False,
development_detector,0.2,0.005,False,
development_detector,0.2,0.01,False,
development_detector,0.2,0.02,False,
development_detector,0.2,0.05,False,
development_detector,0.3,0.0,False,
development_detector,0.3,0.001,False,
development_detector,0.3,0.005,False,
development_detector,0.3,0.01,False,
development_detector,0.3,0.02,False,
development_detector,0.3,0.05,False,
development_detector,0.4,0.0,False,
development_detector,0.4,0.001,False,
development_detector,0.4,0.005,False,
development_detector,0.4,0.01,False,
development_detector,0.4,0.02,False,
development_detector,0.4,0.05,False,
development_detector,0.5,0.0,False,
development_detector,0.5,0.001,False,
development_detector,0.5,0.005,False,
development_detector,0.5,0.01,False,
development_detector,0.5,0.02,False,
development_detector,0.5,0.05,False,
development_detector_plus_symbolic,0.1,0.0,True,
development_detector_plus_symbolic,0.1,0.001,True,
development_detector_plus_symbolic,0.1,0.005,True,
development_detector_plus_symbolic,0.1,0.01,True,
development_detector_plus_symbolic,0.1,0.02,True,
development_detector_plus_symbolic,0.1,0.05,True,
development_detector_plus_symbolic,0.2,0.0,True,
development_detector_plus_symbolic,0.2,0.001,True,
development_detector_plus_symbolic,0.2,0.005,True,
development_detector_plus_symbolic,0.2,0.01,True,
development_detector_plus_symbolic,0.2,0.02,True,
development_detector_plus_symbolic,0.2,0.05,True,
development_detector_plus_symbolic,0.3,0.0,True,
development_detector_plus_symbolic,0.3,0.001,True,
development_detector_plus_symbolic,0.3,0.005,True,
development_detector_plus_symbolic,0.3,0.01,True,
development_detector_plus_symbolic,0.3,0.02,True,
development_detector_plus_symbolic,0.3,0.05,True,
development_detector_plus_symbolic,0.4,0.0,True,
development_detector_plus_symbolic,0.4,0.001,True,
development_detector_plus_symbolic,0.4,0.005,True,
development_detector_plus_symbolic,0.4,0.01,True,
development_detector_plus_symbolic,0.4,0.02,True,
development_detector_plus_symbolic,0.4,0.05,True,
development_detector_plus_symbolic,0.5,0.0,True,
development_detector_plus_symbolic,0.5,0.001,True,
development_detector_plus_symbolic,0.5,0.005,True,
development_detector_plus_symbolic,0.5,0.01,True,
development_detector_plus_symbolic,0.5,0.02,True,
development_detector_plus_symbolic,0.5,0.05,True,
