split,Label,rows
development,BENIGN,65396
development,Bot,599
development,DDoS,8546
development,DoS GoldenEye,228
development,DoS Hulk,4501
development,DoS Slowhttptest,110
development,DoS slowloris,136
development,FTP-Patator,247
development,Heartbleed,2
development,PortScan,8327
development,SSH-Patator,214
test,BENIGN,97784
test,Infiltration,36
test,Web Attack � Brute Force,1507
test,Web Attack � Sql Injection,21
test,Web Attack � XSS,652
train,BENIGN,152360
train,Bot,1367
train,DDoS,19811
train,DoS GoldenEye,515
train,DoS Hulk,12172
train,DoS Slowhttptest,287
train,DoS slowloris,282
train,FTP-Patator,643
train,Heartbleed,9
train,PortScan,19377
train,SSH-Patator,447
