policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,8656
symbolic,5,1316
symbolic,10,-7859
symbolic,20,-26209
symbolic,100,-173009
symbolic,1000,-1824509
development_score_filter,1,4580
development_score_filter,5,3976
development_score_filter,10,3221
development_score_filter,20,1711
development_score_filter,100,-10369
development_score_filter,1000,-146269
development_detector,1,0
development_detector,5,0
development_detector,10,0
development_detector,20,0
development_detector,100,0
development_detector,1000,0
development_detector_plus_symbolic,1,8656
development_detector_plus_symbolic,5,1316
development_detector_plus_symbolic,10,-7859
development_detector_plus_symbolic,20,-26209
development_detector_plus_symbolic,100,-173009
development_detector_plus_symbolic,1000,-1824509
