cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,22896
0.16,28,2,22894
0.17,40,9,22887
0.18,45,11,22885
0.19,58,11,22885
0.2,71,12,22884
0.21,79,14,22882
0.22,86,17,22879
0.23,97,17,22879
0.24,102,21,22875
0.25,108,21,22875
0.26,114,21,22875
0.27,120,23,22873
0.28,122,24,22872
0.29,128,26,22870
0.3,132,27,22869
0.31,133,28,22868
0.32,139,28,22868
0.33,143,29,22867
0.34,147,30,22866
0.35,151,30,22866
0.36,154,31,22865
0.37,156,32,22864
0.38,158,35,22861
0.39,160,35,22861
0.4,160,37,22859
0.41,165,39,22857
0.42,167,40,22856
0.43,168,43,22853
0.44,171,43,22853
0.45,173,52,22844
0.46,174,56,22840
0.47,175,61,22835
0.48,176,63,22833
0.49,177,67,22829
0.5,177,69,22827
0.51,178,70,22826
0.52,178,71,22825
0.53,180,74,22822
0.54,181,77,22819
0.55,182,80,22816
0.56,182,81,22815
0.57,182,85,22811
0.58,183,90,22806
0.59,184,93,22803
0.6,184,99,22797
0.61,185,106,22790
0.62,186,120,22776
0.63,187,125,22771
0.64,189,127,22769
0.65,191,132,22764
0.66,192,135,22761
0.67,192,141,22755
0.68,193,144,22752
0.69,194,152,22744
0.7,195,160,22736
0.71,196,170,22726
0.72,196,188,22708
0.73,197,189,22707
0.74,197,199,22697
0.75,197,206,22690
0.76,197,214,22682
0.77,198,224,22672
0.78,201,234,22662
0.79,204,245,22651
0.8,206,251,22645
0.81,207,262,22634
0.82,212,272,22624
0.83,213,280,22616
0.84,216,299,22597
0.85,216,324,22572
0.86,217,342,22554
0.87,219,356,22540
0.88,223,366,22530
0.89,224,380,22516
0.9,224,418,22478
0.91,226,436,22460
0.92,227,469,22427
0.93,227,493,22403
0.94,228,533,22363
0.95,232,563,22333
0.96,232,633,22263
0.97,233,690,22206
0.98,234,778,22118
0.99,235,1370,21526
1.0,235,1616,21280
