split,Label,rows
development,BENIGN,81265
development,Bot,599
development,DDoS,8546
development,DoS GoldenEye,228
development,DoS Hulk,4500
development,DoS Slowhttptest,110
development,DoS slowloris,136
development,Heartbleed,2
development,Infiltration,11
development,PortScan,8340
development,Web Attack � Brute Force,459
development,Web Attack � Sql Injection,7
development,Web Attack � XSS,203
test,BENIGN,48449
test,FTP-Patator,890
test,SSH-Patator,661
train,BENIGN,187986
train,Bot,1367
train,DDoS,19811
train,DoS GoldenEye,515
train,DoS Hulk,11933
train,DoS Slowhttptest,287
train,DoS slowloris,282
train,Heartbleed,9
train,Infiltration,25
train,PortScan,19400
train,Web Attack � Brute Force,1048
train,Web Attack � Sql Injection,14
train,Web Attack � XSS,449
