policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,-13
symbolic,5,-1225
symbolic,10,-2740
symbolic,20,-5770
symbolic,100,-30010
symbolic,1000,-302710
development_score_filter,1,207
development_score_filter,5,-121
development_score_filter,10,-531
development_score_filter,20,-1351
development_score_filter,100,-7911
development_score_filter,1000,-81711
development_detector,1,0
development_detector,5,0
development_detector,10,0
development_detector,20,0
development_detector,100,0
development_detector,1000,0
development_detector_plus_symbolic,1,-13
development_detector_plus_symbolic,5,-1225
development_detector_plus_symbolic,10,-2740
development_detector_plus_symbolic,20,-5770
development_detector_plus_symbolic,100,-30010
development_detector_plus_symbolic,1000,-302710
