cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,23114
0.16,32,6,23108
0.17,54,7,23107
0.18,65,9,23105
0.19,78,12,23102
0.2,89,14,23100
0.21,100,17,23097
0.22,114,19,23095
0.23,129,22,23092
0.24,137,27,23087
0.25,153,27,23087
0.26,162,27,23087
0.27,168,31,23083
0.28,178,33,23081
0.29,181,33,23081
0.3,187,35,23079
0.31,194,39,23075
0.32,198,42,23072
0.33,203,44,23070
0.34,209,50,23064
0.35,215,53,23061
0.36,221,61,23053
0.37,224,65,23049
0.38,226,71,23043
0.39,231,77,23037
0.4,235,81,23033
0.41,237,83,23031
0.42,237,85,23029
0.43,241,90,23024
0.44,242,101,23013
0.45,243,106,23008
0.46,243,110,23004
0.47,243,118,22996
0.48,244,122,22992
0.49,245,130,22984
0.5,247,142,22972
0.51,251,143,22971
0.52,251,145,22969
0.53,251,152,22962
0.54,252,155,22959
0.55,256,162,22952
0.56,258,164,22950
0.57,258,168,22946
0.58,259,186,22928
0.59,259,194,22920
0.6,264,199,22915
0.61,266,203,22911
0.62,267,208,22906
0.63,268,209,22905
0.64,269,222,22892
0.65,270,224,22890
0.66,270,229,22885
0.67,272,236,22878
0.68,273,243,22871
0.69,276,254,22860
0.7,276,258,22856
0.71,277,264,22850
0.72,278,270,22844
0.73,278,280,22834
0.74,280,292,22822
0.75,282,299,22815
0.76,284,307,22807
0.77,285,319,22795
0.78,286,337,22777
0.79,288,352,22762
0.8,288,366,22748
0.81,290,396,22718
0.82,293,404,22710
0.83,295,422,22692
0.84,298,443,22671
0.85,301,466,22648
0.86,303,482,22632
0.87,303,496,22618
0.88,306,507,22607
0.89,306,537,22577
0.9,307,559,22555
0.91,309,611,22503
0.92,310,652,22462
0.93,311,690,22424
0.94,312,730,22384
0.95,312,780,22334
0.96,313,1353,21761
0.97,314,1437,21677
0.98,315,1603,21511
0.99,317,1845,21269
1.0,319,2301,20813
