feature,training_median
Destination Port,80.0
Flow Duration,31540.0
Total Fwd Packets,2.0
Total Backward Packets,2.0
Total Length of Fwd Packets,56.0
Total Length of Bwd Packets,114.0
Fwd Packet Length Max,34.0
Fwd Packet Length Min,6.0
Fwd Packet Length Mean,32.0
Fwd Packet Length Std,0.0
Bwd Packet Length Max,72.0
Bwd Packet Length Min,6.0
Bwd Packet Length Mean,65.0
Bwd Packet Length Std,0.0
Flow Bytes/s,6132.065323
Flow Packets/s,103.0885324317
Flow IAT Mean,12085.75
Flow IAT Std,142.3177197
Flow IAT Max,30913.0
Flow IAT Min,4.0
Fwd IAT Total,46.0
Fwd IAT Mean,39.0
Fwd IAT Std,0.0
Fwd IAT Max,46.0
Fwd IAT Min,3.0
Bwd IAT Total,3.0
Bwd IAT Mean,3.0
Bwd IAT Std,0.0
Bwd IAT Max,3.0
Bwd IAT Min,1.0
Fwd PSH Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd Header Length,64.0
Bwd Header Length,40.0
Fwd Packets/s,58.39294288
Bwd Packets/s,20.687443754999997
Min Packet Length,2.0
Max Packet Length,81.0
Packet Length Mean,54.6
Packet Length Std,21.9089023002
Packet Length Variance,480.0
FIN Flag Count,0.0
SYN Flag Count,0.0
RST Flag Count,0.0
PSH Flag Count,0.0
ACK Flag Count,0.0
URG Flag Count,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Down/Up Ratio,1.0
Average Packet Size,70.0
Avg Fwd Segment Size,32.0
Avg Bwd Segment Size,65.0
Fwd Header Length.1,64.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Subflow Fwd Packets,2.0
Subflow Fwd Bytes,56.0
Subflow Bwd Packets,2.0
Subflow Bwd Bytes,114.0
Init_Win_bytes_forward,256.0
Init_Win_bytes_backward,0.0
act_data_pkt_fwd,1.0
min_seg_size_forward,20.0
Active Mean,0.0
Active Std,0.0
Active Max,0.0
Active Min,0.0
Idle Mean,0.0
Idle Std,0.0
Idle Max,0.0
Idle Min,0.0
