policy,fn_to_fp_cost_assumption,net_count_benefit
reference_detector,1,0
reference_detector,5,0
reference_detector,10,0
reference_detector,20,0
reference_detector,100,0
reference_detector,1000,0
symbolic,1,-3184
symbolic,5,-16036
symbolic,10,-32101
symbolic,20,-64231
symbolic,100,-321271
symbolic,1000,-3212971
development_score_filter,1,-2726
development_score_filter,5,-13794
development_score_filter,10,-27629
development_score_filter,20,-55299
development_score_filter,100,-276659
development_score_filter,1000,-2766959
development_detector,1,0
development_detector,5,0
development_detector,10,0
development_detector,20,0
development_detector,100,0
development_detector,1000,0
development_detector_plus_symbolic,1,-3184
development_detector_plus_symbolic,5,-16036
development_detector_plus_symbolic,10,-32101
development_detector_plus_symbolic,20,-64231
development_detector_plus_symbolic,100,-321271
development_detector_plus_symbolic,1000,-3212971
