cutoff,false_positives_removed,true_positives_removed,true_positives_retained
0.15,0,0,18587
0.16,17,2,18585
0.17,32,3,18584
0.18,38,4,18583
0.19,46,4,18583
0.2,52,6,18581
0.21,58,7,18580
0.22,62,10,18577
0.23,67,14,18573
0.24,71,14,18573
0.25,74,14,18573
0.26,80,15,18572
0.27,84,18,18569
0.28,90,18,18569
0.29,94,20,18567
0.3,99,21,18566
0.31,101,22,18565
0.32,102,28,18559
0.33,102,29,18558
0.34,104,32,18555
0.35,105,35,18552
0.36,109,40,18547
0.37,109,43,18544
0.38,110,50,18537
0.39,111,56,18531
0.4,111,58,18529
0.41,112,65,18522
0.42,115,67,18520
0.43,115,71,18516
0.44,118,74,18513
0.45,119,76,18511
0.46,120,79,18508
0.47,120,79,18508
0.48,121,85,18502
0.49,122,85,18502
0.5,123,86,18501
0.51,123,87,18500
0.52,124,90,18497
0.53,124,93,18494
0.54,124,95,18492
0.55,124,116,18471
0.56,124,118,18469
0.57,124,119,18468
0.58,124,127,18460
0.59,125,129,18458
0.6,126,130,18457
0.61,126,133,18454
0.62,126,134,18453
0.63,127,136,18451
0.64,127,139,18448
0.65,129,146,18441
0.66,130,152,18435
0.67,130,155,18432
0.68,130,160,18427
0.69,133,161,18426
0.7,134,168,18419
0.71,136,178,18409
0.72,137,184,18403
0.73,138,191,18396
0.74,138,199,18388
0.75,139,208,18379
0.76,141,221,18366
0.77,141,228,18359
0.78,142,244,18343
0.79,146,255,18332
0.8,146,264,18323
0.81,147,280,18307
0.82,149,294,18293
0.83,152,302,18285
0.84,154,308,18279
0.85,154,318,18269
0.86,155,330,18257
0.87,157,345,18242
0.88,157,369,18218
0.89,157,385,18202
0.9,158,404,18183
0.91,160,427,18160
0.92,160,467,18120
0.93,161,521,18066
0.94,161,555,18032
0.95,162,607,17980
0.96,166,679,17908
0.97,166,774,17813
0.98,168,881,17706
0.99,169,1040,17547
1.0,169,1377,17210
